spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_taret_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1258,1,0,0,,11709,1727,Energy value in kJ (protein = N x 6.25),not OK,red,<,1381.6,OR,>,2072.4,,,
1258,1,0,0,,11710,409,Energy value in kcal (protein = N x 6.25),not OK,red,<,327.2,OR,>,490.8,,,
1258,1,0,0,,5239,7.2,"Fat, Total",not OK,red,<,5.7,OR,>,8.7,,,
1258,1,0,0,,5444,1.3,"Fatty acid, saturated",not OK,red,<,0.5,OR,>,2.1,,,
1258,1,0,0,,5244,6,Carbohydrates*,not OK,red,<,4,OR,>,8,,,
1258,1,0,0,,5245,0.3,Sugar,not OK,red,<,0,OR,>,2.3,,,
1258,1,0,0,,5252,3.7,Fibre,not OK,red,<,1.7,OR,>,5.7,,,
1258,1,0,0,,11423,78,"Protein, N x 6.25",not OK,red,<,70,OR,>,86,,,
1258,1,0,0,,11440,0.55,Salt from sodium,not OK,red,<,0.175,OR,>,0.925,,,
1258,1,0,0,,5240,,Fatty acid*,,,,,,,,,,
1258,1,0,0,,5246,,"Sugar, total",,,,,,,,,,
1258,1,0,0,,5247,,Fructose,,,,,,,,,,
1258,1,0,0,,5248,,Glucose,,,,,,,,,,
1258,1,0,0,,5249,,Sucrose,,,,,,,,,,
1258,1,0,0,,5250,,Maltose,,,,,,,,,,
1258,1,0,0,,5251,,Lactose,,,,,,,,,,
1258,1,0,0,,5445,,"Fatty acid, monounsaturated",,,,,,,,,,
1258,1,0,0,,5446,,"Fatty acid, polyunsaturated",,,,,,,,,,
1258,1,0,0,,5299,,Sodium_10873,,,,,,,,,,
1258,1,0,0,,11249,,Ash,,,,,,,,,,
1258,1,0,0,,11377,,Air humidity,,,,,,,,,,
1258,1,0,0,,12016,,moisture,,,,,,,,,,
